year,crop,plantingDOY_50,harvestedDOY_50,plantYear,harvYear,CropMod,SpeciesID,cult_R,cult_I,plantDOY_adj,IHarI,RowSpc,RowSp_irr,Ppop_rain,Ppop_irr,Sdepth,IResI,ITilI,TDep,T_DaysBeforePlanting,IferI,SoilNC,numFertEvents,ANFer1,ANFer2,IIrrI,ThetaC,AIrAm,DSoil,EffIrr,IAMe
2006,ALFALFA,127,182,2006,2006,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2006,CORN,113,267,2006,2006,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2006,FALLOW,90,260,2007,2007,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2006,GRASS,90,260,2006,2006,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2006,SORGHUM,155,302,2006,2006,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2006,SOYBEANS,141,288,2006,2006,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2006,WHEAT,275,169,2005,2006,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2007,ALFALFA,127,182,2007,2007,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2007,CORN,126,273,2007,2007,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2007,FALLOW,90,260,2009,2009,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2007,GRASS,90,260,2008,2008,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2007,SORGHUM,154,294,2007,2007,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2007,SOYBEANS,147,294,2007,2007,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2007,WHEAT,274,182,2006,2007,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2008,ALFALFA,127,182,2008,2008,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2008,CORN,125,293,2008,2008,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2008,FALLOW,90,260,2011,2011,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2008,GRASS,90,260,2010,2010,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2008,SORGHUM,160,314,2008,2008,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2008,SOYBEANS,146,293,2008,2008,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2008,WHEAT,280,181,2007,2008,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2009,ALFALFA,127,182,2009,2009,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2009,CORN,130,305,2009,2009,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2009,FALLOW,90,260,2013,2013,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2009,GRASS,90,260,2012,2012,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2009,SORGHUM,158,319,2009,2009,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2009,SOYBEANS,144,298,2009,2009,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2009,WHEAT,272,179,2008,2009,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2010,ALFALFA,127,182,2010,2010,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2010,CORN,122,269,2010,2010,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2010,FALLOW,90,260,2015,2015,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2010,GRASS,90,260,2014,2014,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2010,SORGHUM,157,290,2010,2010,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2010,SOYBEANS,150,283,2010,2010,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2010,WHEAT,277,178,2009,2010,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2011,ALFALFA,127,182,2011,2011,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2011,CORN,121,275,2011,2011,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2011,FALLOW,90,260,2017,2017,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2011,GRASS,90,260,2016,2016,S,PA,NA,NA,0,R,5,5,100,100,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
2011,SORGHUM,156,303,2011,2011,S,SG,NA,NA,-5,M,50.8,50.8,9,14,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2011,SOYBEANS,142,282,2011,2011,S,SB,NA,NA,-5,M,54,54,39.54,39.54,4,N,N,5.08,30,N,75,0,70,70,F,45,31.75,25,1,IR004
2011,WHEAT,276,177,2010,2011,C,WH,IB1099,IB1099,-10,M,17.78,17.78,295,295,2.54,N,N,5.08,25,A,75,1,70,70,F,45,31.75,25,1,IR004
2012,ALFALFA,127,182,2012,2012,S,AL,NA,NA,10,M,76,50.8,488.7,733.5,4,N,N,5.08,30,A,75,1,70,70,F,45,31.75,25,1,IR004
2012,CORN,120,260,2012,2012,C,MZ,IB0072,SD6_2,5,M,76.2,76.2,4.4,8.4,5.08,N,N,5.08,30,A,75,2,70,70,F,45,31.75,25,1,IR004
2012,FALLOW,90,260,2007,2007,S,PA,NA,NA,0,R,50,50,5,5,4,N,N,5.08,30,N,75,0,70,70,N,45,31.75,0,1,IR004
