"year","irrigated","crop","yield_total_kg","yield_min_kgha","yield_Q1_kgha","yield_median_kgha","yield_mean_kgha","yield_Q3_kgha","yield_max_kgha"
2006,"N","MZ",10988544.4403622,1773,2459,2588,2606,2836,5723
2007,"N","MZ",15211357.0500825,4162,4754,4948,4898,5012,6111
2008,"N","MZ",13272127.9934897,5527,6157,6390,6287,6439,7414
2009,"N","MZ",17746973.5189635,4609,5436,5544,5498,5628,7701
2010,"N","MZ",9626875.76097297,2144,3294,3789,3880,4158,7040
2011,"N","MZ",19146443.4534926,4324,5503,6160,6108,6723,7693
2012,"N","MZ",14062073.0483331,2577,3696,3840,3791,3967,4177
2013,"N","MZ",15503557.8458217,2680,4164,4641,4529,4933,6482
2014,"N","MZ",14008794.0208627,3461,5053,5374,5258,5563,7354
2015,"N","MZ",29855337.135465,5767,7570,7803,7739,7907,8533
2016,"N","MZ",19682608.0205745,3901,5429,5639,5622,5890,7415
2017,"N","MZ",28875712.6903468,3435,6500,7581,7331,8190,9092
2006,"N","WH",5250678.49687617,1391,1731,1880,1812,1943,2223
2007,"N","WH",3587841.75288132,2760,2997,3086,3067,3127,3354
2008,"N","WH",2345821.57927944,540.8,639.8,685.3,800.6,950.5,2096
2009,"N","WH",3899431.51063389,3364,4172,4348,4307,4473,4753
2010,"N","WH",8346006.79403877,4343,4789,4878,4854,4974,5177
2011,"N","WH",1172700.15183909,776.2,1457,2357,2134,2687,3233
2012,"N","WH",11772009.5548453,3068,4230,4338,4305,4411,4497
2013,"N","WH",2525488.42894119,986.4,1769,1846,1908,2076,2745
2014,"N","WH",5947085.20726638,302,1381,1655,1629,1863,2642
2015,"N","WH",2534324.95496799,202.3,1063,1573,1508,1995,2761
2016,"N","WH",11377909.8782107,3101,4514,4639,4640,4794,5083
2017,"N","WH",5747592.36479715,1010,2391,2607,2589,2856,3381
2006,"N","SG",3806973.92306952,3683,4369,4415,4404,4508,5597
2007,"N","SG",2223998.13184722,3366,4060,4096,3988,4129,5477
2008,"N","SG",4344297.78793914,3773,4558,4678,4596,4692,6028
2009,"N","SG",2098795.00182804,4243,5002,5049,4977,5092,6262
2010,"N","SG",816375.46899555,3481,4137,4452,4369,4528,5188
2011,"N","SG",722095.92082008,3442,4101,4189,4365,4702,5769
2012,"N","SG",596277.90370935,2844,3403,3493,3456,3525,3642
2013,"N","SG",1839867.33096387,1866,2725,2860,2909,3165,4277
2014,"N","SG",2883001.51277838,3606,4148,4767,4618,4866,6003
2015,"N","SG",4643808.89460282,4042,4977,5142,5137,5290,6063
2016,"N","SG",4102388.35203429,3966,4678,4797,4791,4942,5941
2017,"N","SG",5679224.81273736,4686,5262,5397,5372,5511,6062
2006,"N","SB",27623.66378805,2154,2518,2586,2537,2586,2611
2007,"N","SB",48637.46802636,1799,2148,2155,2162,2226,2261
2008,"N","SB",139745.97661149,2256,2571,2577,2627,2763,3108
2009,"N","SB",804044.28783105,2363,2760,2761,2759,2764,3577
2010,"N","SB",318579.17006565,1742,2110,2132,2169,2234,2990
2011,"N","SB",381905.25673239,2149,2551,2579,2567,2612,3163
2012,"N","SB",357829.94427651,1336,1627,1633,1647,1682,2146
2013,"N","SB",187877.73236085,1268,1545,1579,1659,1800,2157
2014,"N","SB",83461.23254349,2350,2714,2783,2785,2840,3393
2015,"N","SB",135525.13025895,2433,2804,2886,2874,2915,3147
2016,"N","SB",53449.66639935,2085,2609,2767,2712,2863,3016
2017,"N","SB",143766.10451538,2524,3221,3344,3273,3368,3789
2006,"N","AL",564875.48829717,1743,2067,2172,2157,2249,2344
2007,"N","AL",402840.43221636,1491,1914,1983,1945,2009,2702
2008,"N","AL",91430.54469261,1431,1742,1775,1776,1869,2047
2009,"N","AL",62270.38263321,1884,2194,2206,2218,2223,2325
2010,"N","AL",111784.72359762,1642,1888,1888,1935,1908,2469
2011,"N","AL",37675.23489549,1265,1576,1730,1723,1898,2015
2012,"N","AL",17601.15823029,938.1,1173,1192,1200,1252,1337
2013,"N","AL",97180.4005452,489.3,913,1181,1080,1242,1520
2014,"N","AL",144805.76091468,2196,2429,2475,2464,2525,2575
2015,"N","AL",69852.54704076,1212,1755,1840,1822,1923,1988
2016,"N","AL",45058.54289445,1295,1580,1614,1600,1641,1825
2017,"N","AL",128959.62384105,1672,1911,1963,1960,1985,2154
2006,"Y","MZ",61634640.292835,1826,11350,11370,11290,11450,11870
2007,"Y","MZ",83939319.3689966,4519,10710,11020,10910,11040,11240
2008,"Y","MZ",98942142.7376499,5649,12840,12890,12880,12990,13200
2009,"Y","MZ",110406085.133813,4799,13310,13340,13350,13450,13600
2010,"Y","MZ",89519392.6842921,2875,11690,11810,11800,11910,12790
2011,"Y","MZ",96999500.2764731,4697,11540,11610,11620,11740,11900
2012,"Y","MZ",77901199.3629384,3034,10490,10570,10590,10840,11410
2013,"Y","MZ",70711244.8142509,2792,11750,11890,11820,11960,12550
2014,"Y","MZ",77040896.1206333,3467,11980,12050,12040,12210,12640
2015,"Y","MZ",83603604.7557588,6242,12870,12980,12990,13220,13380
2016,"Y","MZ",93970706.2297174,4213,12630,12780,12810,12980,13350
2017,"Y","MZ",100937707.879673,4069,13550,13590,13550,13620,13830
2006,"Y","WH",1243753.40801979,1596,4717,4758,4723,4860,4958
2007,"Y","WH",468147.54099753,2935,3133,3133,3143,3159,3337
2008,"Y","WH",370152.42928713,582.6,4036,4150,3601,4478,4625
2009,"Y","WH",1441565.90586369,3821,4547,4561,4536,4604,4788
2010,"Y","WH",881252.01779607,4452,4633,4633,4737,4991,5147
2011,"Y","WH",241047.67606965,1736,4474,4772,4578,4772,4966
2012,"Y","WH",1512515.9625372,3835,4305,4326,4344,4405,4682
2013,"Y","WH",1139635.75165461,1458,4240,4267,4200,4289,4713
2014,"Y","WH",2402013.73373271,988.9,4065,4120,4231,4405,5065
