"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",12356881.56,12.35688156,25.4,177.8,190.5,175.4,190.5,241.3
2007,"irrigation",14568026.49,14.56802649,50.8,165.1,165.1,163.3,177.8,254
2008,"irrigation",13658255.64,13.65825564,12.7,139.7,152.4,143,152.4,279.4
2009,"irrigation",12685802.67,12.68580267,12.7,127,127,122.9,127,152.4
2010,"irrigation",18479429.64,18.47942964,38.1,165.1,177.8,177.5,190.5,317.5
2011,"irrigation",10889749.62,10.88974962,25.4,101.6,101.6,103.2,114.3,279.4
2012,"irrigation",22107425.94,22.10742594,76.2,241.3,241.3,238.8,254,469.9
2013,"irrigation",15917920.92,15.91792092,38.1,165.1,190.5,178.5,190.5,292.1
2014,"irrigation",13160776.32,13.16077632,63.5,127,139.7,141.5,152.4,381
2015,"irrigation",15479374.68,15.47937468,25.4,152.4,165.1,156,177.8,279.4
2016,"irrigation",15000000.48,15.00000048,63.5,139.7,152.4,145.9,165.1,292.1
2017,"irrigation",13798204.56,13.79820456,63.5,127,139.7,140.6,152.4,292.1
2006,"recharge",5675202.3613284,5.6752023613284,0,0,0,23.28,22.16,254.7
2007,"recharge",20760951.1039965,20.7609511039965,0,56.55,86.49,85.18,109.8,306.5
2008,"recharge",15659515.8739233,15.6595158739233,0,13.35,37.49,64.25,93.3,401.2
2009,"recharge",37054542.2973354,37.0545422973354,0,113.5,120.8,152,237.6,402.8
2010,"recharge",24743621.2117266,24.7436212117266,0,76.11,97.19,101.5,114.3,372.6
2011,"recharge",18772767.195561,18.772767195561,0,0,21.25,77.02,165.2,398
2012,"recharge",7836253.7713956,7.8362537713956,0,9.665,25.31,32.15,38.26,153
2013,"recharge",4913926.1783937,4.9139261783937,0,0,0,20.16,29.97,209.3
2014,"recharge",11944363.5733986,11.9443635733986,0,7.582,29.63,49.01,60.21,316.3
2015,"recharge",26516219.0926608,26.5162190926608,0,47.42,85.48,108.8,162.5,406
2016,"recharge",26768057.8496859,26.7680578496859,0,86.59,100.3,109.8,116.7,427.4
2017,"recharge",61458638.3607618,61.4586383607618,34.05,211.1,257.8,252.2,287.3,545
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
2009,"precip",NA,NA,NA,NA,NA,659.363920735266,NA,NA
2010,"precip",NA,NA,NA,NA,NA,480.34229290214,NA,NA
2011,"precip",NA,NA,NA,NA,NA,610.266387815992,NA,NA
2012,"precip",NA,NA,NA,NA,NA,345.733619495299,NA,NA
2013,"precip",NA,NA,NA,NA,NA,417.888931739127,NA,NA
2014,"precip",NA,NA,NA,NA,NA,502.168494538687,NA,NA
2015,"precip",NA,NA,NA,NA,NA,620.523664360041,NA,NA
2016,"precip",NA,NA,NA,NA,NA,559.605731018337,NA,NA
2017,"precip",NA,NA,NA,NA,NA,795.535262431042,NA,NA
2006,"etac",128389565.945315,128.389565945315,333.5,460.9,518.9,526.8,599.4,794.4
2007,"etac",136906382.645801,136.906382645801,369.8,482.2,565.9,561.7,690,794.6
2008,"etac",142912742.872766,142.912742872766,383.2,466.3,588.4,586.4,697.9,860.9
2009,"etac",141206325.143948,141.206325143948,407.3,429,596.5,579.3,683.3,801.6
2010,"etac",133178117.770232,133.178117770232,331.5,476.1,539.9,546.4,671.2,872
2011,"etac",142596354.468698,142.596354468698,376.3,412.4,652.3,585.1,698.1,943
2012,"etac",115536851.408043,115.536851408043,252.8,386.9,426.8,474,637.9,915.4
2013,"etac",118646564.40103,118.64656440103,318.8,347.1,485.7,486.8,614,763.5
2014,"etac",133264334.109103,133.264334109103,331.9,424,561.7,546.8,655.9,913
2015,"etac",148828940.745661,148.828940745661,384.7,448.2,621.3,610.6,750.8,899.1
2016,"etac",141942250.297797,141.942250297797,325.4,522.3,573.7,582.4,671.7,966.6
2017,"etac",164041603.894688,164.041603894687,402.5,604.7,670.9,673,746.7,922.7
2006,"esac",78424237.2207744,78.4242372207744,235.3,302.8,320,321.8,343.6,463.6
2007,"esac",86627248.3229499,86.6272483229499,220.5,336.7,369.1,355.4,382.5,420.6
2008,"esac",87928103.9313756,87.9281039313756,245.2,344,361.7,360.8,376.4,456.9
2009,"esac",93307733.5077891,93.3077335077891,287.1,365.9,377.9,382.8,413.7,545.6
2010,"esac",78331685.0498307,78.3316850498307,192.7,296.6,336.4,321.4,345.2,460.1
2011,"esac",86182036.4712618,86.1820364712618,241.6,335.6,346.3,353.6,396.5,538.1
2012,"esac",64258478.8969302,64.2584788969302,157.3,231.8,265.3,263.6,308.8,341.4
2013,"esac",77328787.918689,77.328787918689,184.2,293.9,332,317.3,341.4,436.5
2014,"esac",76671856.5560487,76.6718565560487,243.5,296.9,312.2,314.6,331.6,491.6
2015,"esac",91306931.0018697,91.3069310018697,220.2,364.6,386.4,374.6,402,574.5
2016,"esac",76476942.2171367,76.4769422171367,230.4,295.9,316.4,313.8,333.8,463.4
2017,"esac",82563263.2771704,82.5632632771704,261.8,298.5,353.2,338.7,365,560.3
2006,"epac",49965328.7184951,49.9653287184951,0,157.1,212.4,205,301.5,493.9
2007,"epac",50279134.3188669,50.2791343188669,0,157.7,242.4,206.3,320.9,425.5
2008,"epac",54984638.9569806,54.9846389569806,0,111.1,255.2,225.6,338.4,590.5
2009,"epac",47898591.6338703,47.8985916338703,0,0,239,196.5,320,456.7
2010,"epac",54846432.7180299,54.8464327180299,0,182.4,265.2,225,334.4,621.1
2011,"epac",56414317.9920255,56.4143179920255,0,0,326.1,231.5,369.1,645.2
2012,"epac",51278372.5084164,51.2783725084164,0,153.9,191.8,210.4,326.9,640.5
2013,"epac",41317776.4873482,41.3177764873482,0,0,202.3,169.5,280.1,464
2014,"epac",56592477.5545305,56.5924775545305,0,94.7,269.1,232.2,351.4,566.1
2015,"epac",57522009.7475127,57.5220097475127,0,43.15,258.4,236,377.7,514.7
2016,"epac",65465308.0758159,65.4653080758159,0,210.4,262.5,268.6,350.9,706.8
2017,"epac",81478340.6150799,81.4783406150799,0,244.5,359.2,334.3,394.1,586.2
2006,"rofc",126493.8796449,0.1264938796449,0,0,0,0.519,0,97.52
2007,"rofc",22931.2358514,0.0229312358514,0,0,0,0.09408,0,38.06
2008,"rofc",517191.9612831,0.5171919612831,0,0,0,2.122,0.4519,151.9
2009,"rofc",542563.4287674,0.5425634287674,0,0,0,2.226,0,148
2010,"rofc",70646.6254554,0.0706466254554,0,0,0,0.2899,0,118.3
2011,"rofc",893035.3542669,0.8930353542669,0,0,0,3.664,0,145.7
2012,"rofc",1667163.4797663,1.6671634797663,0,4.847,6.125,6.84,8.673,80.39
2013,"rofc",197649.027513,0.197649027513,0,0,0,0.8109,0.03846,115.5
2014,"rofc",120590.8296894,0.1205908296894,0,0,0,0.4948,0,115.3
2015,"rofc",1477827.7661709,1.4778277661709,0,0,3.978,6.063,10.59,169.3
2016,"rofc",3875943.8511072,3.8759438511072,0,0.2644,13.71,15.9,25.57,132.2
2017,"rofc",357696.4672683,0.3576964672683,0,0,0,1.468,0,320.9
