"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",16070422.5,16.0704225,50,225,250,228.2,250,325
2007,"irrigation",17437635,17.437635,75,200,200,195.5,200,300
2008,"irrigation",16699657.5,16.6996575,25,175,175,174.8,175,300
2009,"irrigation",15438262.5,15.4382625,25,150,150,149.6,150,200
2010,"irrigation",23377477.5,23.3774775,50,225,225,224.5,250,350
2011,"irrigation",14178735,14.178735,50,125,125,134.4,150,325
2012,"irrigation",24736297.5,24.7362975,100,275,275,267.2,275,525
2013,"irrigation",19060470,19.06047,50,200,225,213.8,225,350
2014,"irrigation",18075465,18.075465,75,175,200,194.3,225,450
2015,"irrigation",18685035,18.685035,25,200,200,188.3,200,325
2016,"irrigation",19528110,19.52811,100,200,200,190,200,400
2017,"irrigation",17738122.5,17.7381225,100,175,175,180.8,200,400
2006,"recharge",6156527.8023198,6.1565278023198,0,0,0,25.26,27.13,254.7
2007,"recharge",22762461.3555816,22.7624613555816,0,75.91,95.23,93.39,117.2,306.5
2008,"recharge",18610021.002375,18.610021002375,0,35.15,56.01,76.35,95.84,401.2
2009,"recharge",37969885.4172597,37.9698854172597,0,118.4,124.1,155.8,237.6,402.8
2010,"recharge",26111377.8817551,26.1113778817551,0,77.36,110,107.1,120,372.6
2011,"recharge",21265464.5947566,21.2654645947566,0,10.86,42.18,87.25,167.8,398
2012,"recharge",8864099.0668089,8.8640990668089,0,23.51,29.04,36.37,38.39,153
2013,"recharge",5160245.3299143,5.1602453299143,0,0,0,21.17,35.89,209.3
2014,"recharge",14697180.0703269,14.6971800703269,0,14.05,46.7,60.3,82.78,316.3
2015,"recharge",30927818.3948928,30.9278183948928,0,69.82,117.3,126.9,185.6,439.2
2016,"recharge",29683222.6453263,29.6832226453263,0,88.89,109.2,121.8,141.6,427.4
2017,"recharge",65669427.8402121,65.6694278402121,34.05,214.5,267.5,269.4,318.1,636.9
2006,"precip",NA,NA,NA,NA,NA,544.442069280023,NA,NA
2007,"precip",NA,NA,NA,NA,NA,464.122009718848,NA,NA
2008,"precip",NA,NA,NA,NA,NA,602.40843250349,NA,NA
