"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",24315153.3,24.3151533,95.25,381,381,345.2,381,571.5
2007,"irrigation",27719921.7,27.7199217,127,317.5,317.5,310.8,317.5,508
2008,"irrigation",29635532.55,29.63553255,63.5,317.5,317.5,310.3,317.5,539.8
2009,"irrigation",27871712.1,27.8717121,31.75,254,285.8,269.8,285.8,412.8
2010,"irrigation",35201942.55,35.20194255,95.25,317.5,349.2,338.1,349.2,666.8
2011,"irrigation",27884313.675,27.884313675,95.25,254,285.8,264.4,285.8,698.5
2012,"irrigation",38441518.875,38.441518875,190.5,412.8,412.8,415.2,444.5,857.2
2013,"irrigation",29191848.525,29.191848525,127,317.5,317.5,327.4,349.2,603.2
2014,"irrigation",27016890.975,27.016890975,158.8,285.8,285.8,290.4,285.8,730.2
2015,"irrigation",27481063.275,27.481063275,63.5,285.8,285.8,277,285.8,571.5
2016,"irrigation",32966263.125,32.966263125,158.8,285.8,349.2,320.7,349.2,698.5
2017,"irrigation",26209904.4,26.2099044,158.8,254,254,267.2,285.8,635
2006,"recharge",7463282.359959,7.463282359959,0,0,5.508,30.62,70.99,386.8
2007,"recharge",16461254.1995334,16.4612541995334,0,4.661,39.63,67.54,146,477.3
2008,"recharge",21597107.0084343,21.5971070084343,0,6.028,72.25,88.61,173.8,574.9
2009,"recharge",28694436.3559467,28.6944363559467,0,6.61,121.6,117.7,210.9,532.8
2010,"recharge",19552885.70526,19.55288570526,0,4.784,81.29,80.22,150,534.9
2011,"recharge",20413029.0313287,20.4130290313287,0,6.135,33.97,83.75,175.9,639
2012,"recharge",9185889.453336,9.185889453336,0,3.409,22.08,37.69,73.86,337.9
2013,"recharge",10149879.1120713,10.1498791120713,0,4.135,4.189,41.64,98.95,384.6
2014,"recharge",16217471.4864993,16.2174714864993,0,5.041,33.4,66.54,127.6,458.3
2015,"recharge",26506457.7528546,26.5064577528546,0,6.212,89.81,108.8,198,586.4
