"year","variable","totalVolume_m3","totalVolume_km3","depth_min_mm","depth_Q1_mm","depth_median_mm","depth_mean_mm","depth_Q3_mm","depth_max_mm"
2006,"irrigation",24315153.3,24.3151533,95.25,381,381,345.2,381,571.5
2007,"irrigation",27719921.7,27.7199217,127,317.5,317.5,310.8,317.5,508
2008,"irrigation",29635532.55,29.63553255,63.5,317.5,317.5,310.3,317.5,539.8
2009,"irrigation",27871712.1,27.8717121,31.75,254,285.8,269.8,285.8,412.8
2010,"irrigation",35201942.55,35.20194255,95.25,317.5,349.2,338.1,349.2,666.8
2011,"irrigation",27884313.675,27.884313675,95.25,254,285.8,264.4,285.8,698.5
2012,"irrigation",38307037.5,38.3070375,125,412.8,412.8,413.8,444.5,857.2
2013,"irrigation",22912602.75,22.91260275,100,250,250,257,275,603.2
2014,"irrigation",20243180.25,20.24318025,100,200,225,217.6,225,539.8
2015,"irrigation",21238749.675,21.238749675,50,225,225,214.1,225,412.8
2016,"irrigation",23234047.2,23.2340472,125,225,225,226,250,504
2017,"irrigation",19570541.625,19.570541625,100,200,200,199.5,200,531
2006,"recharge",7463282.359959,7.463282359959,0,0,5.508,30.62,70.99,386.8
2007,"recharge",16461254.1995334,16.4612541995334,0,4.661,39.63,67.54,146,477.3
2008,"recharge",21597107.0084343,21.5971070084343,0,6.028,72.25,88.61,173.8,574.9
2009,"recharge",28694436.3559467,28.6944363559467,0,6.61,121.6,117.7,210.9,532.8
2010,"recharge",19552885.70526,19.55288570526,0,4.784,81.29,80.22,150,534.9
2011,"recharge",20413029.0313287,20.4130290313287,0,6.135,33.97,83.75,175.9,639
2012,"recharge",9123719.3256006,9.1237193256006,0,3.409,22.08,37.43,73.86,337.9
2013,"recharge",5214936.4263558,5.2149364263558,0,4.135,4.184,21.4,39.82,384.6
2014,"recharge",11075588.1546372,11.0755881546372,0,5.041,31.84,45.44,79.38,445.2
2015,"recharge",20697109.3730718,20.6971093730718,0,6.212,81.23,84.92,143.8,566.5
2016,"recharge",23833154.244267,23.833154244267,0,5.966,100.2,97.78,157.2,471.5
