runID,year,salusVolume_km3,ALFALFA,CORN,SORGHUM,SOYBEANS,WHEAT,ThetaC,AIrAm,wimasVolume_km3,N_CORN,N_SORGHUM,N_SOYBEANS,N_WHEAT,NS_CORN,runID_num,salusVol_90adj
0054,2006,0.024315153300000003,3292,11680,5858,3680,4758,85,31.75,0.032983859605200005,10879.97,5911.66,3623.94,2617.29,9747.95,54,0.027016837000000002
0054,2007,0.0277199217,3359,11120,5866,3548,3133,85,31.75,0.0364665287112,12137.77,6729.23,3422.61,3556.83,12955.34,54,0.030799912999999998
0054,2008,0.029635532550000003,3469,12980,5987,3778,4150,85,31.75,0.034367774826,11508.87,5974.55,3355.5,3321.945,NA,54,0.032928369500000006
0054,2009,0.027871712100000005,3438,13530,6304,3981,4561,85,31.75,0.027445497400800004,12892.45,6351.89,3993.045,NA,13269.79,54,0.030968569000000005
0054,2010,0.03520194255,3319,12e3,5851,3612,4633,85,31.75,0.033235933578000004,11728.985,NA,NA,NA,11647.228,54,0.0391132695
0054,2011,0.027884313675,3246,11700,5563,3529,4772,85,31.75,0.0323111072784,10093.845,NA,NA,NA,NA,54,0.03098257075
0054,2012,0.038441518875000004,2972,10950,5667,3455,4326,85,31.75,0.0417820010796,10703.878,NA,NA,NA,11288.755,54,0.04271279875
0054,2013,0.029191848525,3134,11970,5749,3561,4286,85,31.75,0.0243779066496,11911.366,NA,NA,NA,NA,54,0.03243538725
0054,2014,0.027016890975000003,3410,12200,6182,3915,4120,85,31.75,0.0249896387208,12326.44,NA,3657.495,NA,12200.66,54,0.03001876775
0054,2015,0.027481063275000002,3232,13070,6017,3742,1616,85,31.75,0.0206014472772,12980.496,NA,3952.779,NA,NA,54,0.030534514750000002
0054,2016,0.032966263125,3131,12880,5906,3685,4669,85,31.75,0.0231794698164,11905.077,NA,4046.733,NA,NA,54,0.03662918125
0054,2017,0.0262099044,3197,13600,5917,3812,4647,85,31.75,NA,NA,NA,NA,NA,NA,54,0.029122116
0086,2006,0.024315153300000003,3292,11680,5858,3680,4758,85,31.75,0.032983859605200005,10879.97,5911.66,3623.94,2617.29,9747.95,86,0.027016837000000002
0086,2007,0.0277199217,3359,11120,5866,3548,3133,85,31.75,0.0364665287112,12137.77,6729.23,3422.61,3556.83,12955.34,86,0.030799912999999998
0086,2008,0.029635532550000003,3469,12980,5987,3778,4150,85,31.75,0.034367774826,11508.87,5974.55,3355.5,3321.945,NA,86,0.032928369500000006
0086,2009,0.027871712100000005,3438,13530,6304,3981,4561,85,31.75,0.027445497400800004,12892.45,6351.89,3993.045,NA,13269.79,86,0.030968569000000005
0086,2010,0.03520194255,3319,12e3,5851,3612,4633,85,31.75,0.033235933578000004,11728.985,NA,NA,NA,11647.228,86,0.0391132695
0086,2011,0.027884313675,3246,11700,5563,3529,4772,85,31.75,0.0323111072784,10093.845,NA,NA,NA,NA,86,0.03098257075
0086,2012,0.0383070375,2972,10950,5667,3455,4326,85,31.75,0.0417820010796,10703.878,NA,NA,NA,11288.755,86,0.042563375
0086,2013,0.02291260275,2870,11890,5617,3484,4272,80,25,0.0243779066496,11911.366,NA,NA,NA,NA,86,0.0254584475
0086,2014,0.020243180250000003,3384,12060,6086,3838,4120,80,25,0.0249896387208,12326.44,NA,3657.495,NA,12200.66,86,0.0224924225
0086,2015,0.021238749675,3141,12980,5963,3709,1616,80,25,0.0206014472772,12980.496,NA,3952.779,NA,NA,86,0.023598610750000002
0086,2016,0.0232340472,3131,12780,5852,3623,4669,80,25,0.0231794698164,11905.077,NA,4046.733,NA,NA,86,0.025815608
0086,2017,0.019570541625,3155,13590,5893,3798,4647,80,25,NA,NA,NA,NA,NA,NA,86,0.02174504625
