"VALUE","CLASS_NAME","RED","GREEN","BLUE","OPACITY"
0,"Background",0,0,0,0
1,"Corn",1,0.82745098039,0,1
2,"Cotton",1,0.14901960784,0.14901960784,1
3,"Rice",0,0.65882352941,0.89803921569,1
4,"Sorghum",1,0.61960784314,0.04705882353,1
5,"Soybeans",0.14901960784,0.43921568628,0,1
6,"Sunflower",1,1,0,1
7,NA,0,0,0,1
8,NA,0,0,0,1
9,NA,0,0,0,1
10,"Peanuts",0.43921568628,0.64705882353,0,1
11,"Tobacco",0,0.6862745098,0.29803921569,1
12,"Sweet Corn",0.86666666667,0.64705882353,0.04705882353,1
13,"Pop or Orn Corn",0.86666666667,0.64705882353,0.04705882353,1
14,"Mint",0.49803921569,0.82745098039,1,1
15,NA,0,0,0,1
16,NA,0,0,0,1
17,NA,0,0,0,1
18,NA,0,0,0,1
19,NA,0,0,0,1
20,NA,0,0,0,1
21,"Barley",0.8862745098,0,0.4862745098,1
22,"Durum Wheat",0.53725490196,0.38823529412,0.32941176471,1
23,"Spring Wheat",0.84705882353,0.70980392157,0.41960784314,1
24,"Winter Wheat",0.64705882353,0.43921568628,0,1
25,"Other Small Grains",0.83921568628,0.61960784314,0.73725490196,1
26,"Dbl Crop WinWht/Soybeans",0.43921568628,0.43921568628,0,1
27,"Rye",0.67843137255,0,0.4862745098,1
28,"Oats",0.62745098039,0.34901960784,0.53725490196,1
29,"Millet",0.43921568628,0,0.2862745098,1
30,"Speltz",0.83921568628,0.61960784314,0.73725490196,1
31,"Canola",0.81960784314,1,0,1
32,"Flaxseed",0.49803921569,0.6,1,1
33,"Safflower",0.83921568628,0.83921568628,0,1
34,"Rape Seed",0.81960784314,1,0,1
35,"Mustard",0,0.6862745098,0.29803921569,1
36,"Alfalfa",1,0.64705882353,0.8862745098,1
37,"Other Hay/Non Alfalfa",0.64705882353,0.94901960784,0.54901960784,1
38,"Camelina",0,0.6862745098,0.29803921569,1
39,"Buckwheat",0.83921568628,0.61960784314,0.73725490196,1
40,NA,0,0,0,1
41,"Sugarbeets",0.65882352941,0,0.89803921569,1
42,"Dry Beans",0.64705882353,0,0,1
43,"Potatoes",0.43921568628,0.14901960784,0,1
44,"Other Crops",0,0.6862745098,0.29803921569,1
45,"Sugarcane",0.69803921569,0.49803921569,1,1
46,"Sweet Potatoes",0.43921568628,0.14901960784,0,1
47,"Misc Vegs & Fruits",1,0.4,0.4,1
48,"Watermelons",1,0.4,0.4,1
49,"Onions",1,0.8,0.4,1
50,"Cucumbers",1,0.4,0.4,1
51,"Chick Peas",0,0.6862745098,0.29803921569,1
52,"Lentils",0,0.86666666667,0.6862745098,1
53,"Peas",0.32941176471,1,0,1
54,"Tomatoes",0.94901960784,0.63921568628,0.46666666667,1
55,"Caneberries",1,0.4,0.4,1
56,"Hops",0,0.6862745098,0.29803921569,1
57,"Herbs",0.49803921569,0.82745098039,1,1
58,"Clover/Wildflowers",0.90980392157,0.74901960784,1,1
59,"Sod/Grass Seed",0.6862745098,1,0.86666666667,1
60,"Switchgrass",0,0.6862745098,0.29803921569,1
61,"Fallow/Idle Cropland",0.74901960784,0.74901960784,0.46666666667,1
62,NA,NA,NA,NA,NA
63,"Forest",0.57647058824,0.8,0.57647058824,1
64,"Shrubland",0.77647058824,0.83921568628,0.61960784314,1
65,"Barren",0.8,0.74901960784,0.63921568628,1
66,"Cherries",1,0,1,1
67,"Peaches",1,0.5568627451,0.66666666667,1
68,"Apples",0.72941176471,0,0.30980392157,1
69,"Grapes",0.43921568628,0.26666666667,0.53725490196,1
70,"Christmas Trees",0,0.46666666667,0.46666666667,1
71,"Other Tree Crops",0.69803921569,0.60784313726,0.43921568628,1
72,"Citrus",1,1,0.49803921569,1
73,NA,0,0,0,1
74,"Pecans",0.70980392157,0.43921568628,0.3568627451,1
75,"Almonds",0,0.64705882353,0.50980392157,1
76,"Walnuts",0.91764705882,0.83921568628,0.6862745098,1
77,"Pears",0.69803921569,0.60784313726,0.43921568628,1
78,NA,0,0,0,1
79,NA,0,0,0,1
80,NA,0,0,0,1
81,"Clouds/No Data",0.94901960784,0.94901960784,0.94901960784,1
82,"Developed",0.60784313726,0.60784313726,0.60784313726,1
83,"Water",0.29803921569,0.43921568628,0.63921568628,1
84,NA,0,0,0,1
85,NA,0,0,0,1
86,NA,0,0,0,1
87,"Wetlands",0.49803921569,0.69803921569,0.69803921569,1
88,"Nonag/Undefined",0.90980392157,1,0.74901960784,1
89,NA,0,0,0,1
90,NA,0,0,0,1
91,NA,0,0,0,1
92,"Aquaculture",0,1,1,1
93,NA,0,0,0,1
94,NA,0,0,0,1
95,NA,0,0,0,1
96,NA,0,0,0,1
97,NA,0,0,0,1
98,NA,0,0,0,1
99,NA,0,0,0,1
100,NA,0,0,0,1
101,NA,0,0,0,1
102,NA,0,0,0,1
103,NA,0,0,0,1
104,NA,0,0,0,1
105,NA,0,0,0,1
106,NA,0,0,0,1
107,NA,0,0,0,1
108,NA,0,0,0,1
109,NA,0,0,0,1
110,NA,0,0,0,1
111,"Open Water",0.29803921569,0.43921568628,0.63921568628,1
112,"Perennial Ice/Snow",0.82745098039,0.8862745098,0.97647058824,1
113,NA,0,0,0,1
114,NA,0,0,0,1
115,NA,0,0,0,1
116,NA,0,0,0,1
117,NA,0,0,0,1
118,NA,0,0,0,1
119,NA,0,0,0,1
120,NA,0,0,0,1
121,"Developed/Open Space",0.60784313726,0.60784313726,0.60784313726,1
122,"Developed/Low Intensity",0.60784313726,0.60784313726,0.60784313726,1
123,"Developed/Med Intensity",0.60784313726,0.60784313726,0.60784313726,1
124,"Developed/High Intensity",0.60784313726,0.60784313726,0.60784313726,1
125,NA,0,0,0,1
126,NA,0,0,0,1
127,NA,0,0,0,1
128,NA,0,0,0,1
129,NA,0,0,0,1
130,NA,0,0,0,1
131,"Barren",0.8,0.74901960784,0.63921568628,1
132,NA,0,0,0,1
133,NA,0,0,0,1
134,NA,0,0,0,1
135,NA,0,0,0,1
136,NA,0,0,0,1
137,NA,0,0,0,1
138,NA,0,0,0,1
139,NA,0,0,0,1
140,NA,0,0,0,1
141,"Deciduous Forest",0.57647058824,0.8,0.57647058824,1
142,"Evergreen Forest",0.57647058824,0.8,0.57647058824,1
143,"Mixed Forest",0.57647058824,0.8,0.57647058824,1
144,NA,0,0,0,1
145,NA,0,0,0,1
146,NA,0,0,0,1
147,NA,0,0,0,1
148,NA,0,0,0,1
149,NA,0,0,0,1
150,NA,0,0,0,1
151,NA,0,0,0,1
152,"Shrubland",0.77647058824,0.83921568628,0.61960784314,1
153,NA,0,0,0,1
154,NA,0,0,0,1
155,NA,0,0,0,1
156,NA,0,0,0,1
157,NA,0,0,0,1
158,NA,0,0,0,1
159,NA,0,0,0,1
160,NA,0,0,0,1
161,NA,0,0,0,1
162,NA,0,0,0,1
163,NA,0,0,0,1
164,NA,0,0,0,1
165,NA,0,0,0,1
166,NA,0,0,0,1
167,NA,0,0,0,1
168,NA,0,0,0,1
169,NA,0,0,0,1
170,NA,0,0,0,1
171,NA,NA,NA,NA,NA
172,NA,0,0,0,1
173,NA,0,0,0,1
174,NA,0,0,0,1
175,NA,0,0,0,1
176,"Grass/Pasture",0.90980392157,1,0.74901960784,1
177,NA,0,0,0,1
178,NA,0,0,0,1
179,NA,0,0,0,1
180,NA,0,0,0,1
181,NA,0,0,0,1
182,NA,0,0,0,1
183,NA,0,0,0,1
184,NA,0,0,0,1
185,NA,0,0,0,1
186,NA,0,0,0,1
187,NA,0,0,0,1
188,NA,0,0,0,1
189,NA,0,0,0,1
190,"Woody Wetlands",0.49803921569,0.69803921569,0.69803921569,1
191,NA,0,0,0,1
192,NA,0,0,0,1
193,NA,0,0,0,1
