"year","fips5","county_name","crop","type","yield_kg_ha","yield_bu_acre","state_name"
2006,"08017","CHEYENNE","CORN","ALL",4842.53,77,"COLORADO"
2006,"08017","CHEYENNE","CORN","IRRIGATED",11886.21,189,"COLORADO"
2006,"08017","CHEYENNE","CORN","NON-IRRIGATED",2106.815,33.5,"COLORADO"
2006,"08017","CHEYENNE","SORGHUM","ALL",1132.02,18,"COLORADO"
2006,"08017","CHEYENNE","WHEAT","ALL",1073.76,16,"COLORADO"
2006,"08017","CHEYENNE","WHEAT","IRRIGATED",2550.18,38,"COLORADO"
2006,"08017","CHEYENNE","WHEAT","NON-IRRIGATED",1006.65,15,"COLORADO"
2006,"08063","KIT CARSON","CORN","ALL",7609.69,121,"COLORADO"
2006,"08063","KIT CARSON","CORN","IRRIGATED",12452.22,198,"COLORADO"
2006,"08063","KIT CARSON","CORN","NON-IRRIGATED",1572.25,25,"COLORADO"
2006,"08063","KIT CARSON","SORGHUM","ALL",2012.48,32,"COLORADO"
2006,"08063","KIT CARSON","WHEAT","ALL",1442.865,21.5,"COLORADO"
2006,"08063","KIT CARSON","WHEAT","IRRIGATED",3154.17,47,"COLORADO"
2006,"08063","KIT CARSON","WHEAT","NON-IRRIGATED",1174.425,17.5,"COLORADO"
2006,"08125","YUMA","CORN","ALL",13741.465,218.5,"COLORADO"
2006,"08125","YUMA","CORN","IRRIGATED",14621.925,232.5,"COLORADO"
2006,"08125","YUMA","CORN","NON-IRRIGATED",2830.05,45,"COLORADO"
2006,"08125","YUMA","WHEAT","ALL",1946.19,29,"COLORADO"
2006,"08125","YUMA","WHEAT","IRRIGATED",4831.92,72,"COLORADO"
2006,"08125","YUMA","WHEAT","NON-IRRIGATED",1409.31,21,"COLORADO"
2006,"20023","CHEYENNE","CORN","ALL",9181.94,146,"KANSAS"
2006,"20023","CHEYENNE","CORN","IRRIGATED",12263.55,195,"KANSAS"
2006,"20023","CHEYENNE","CORN","NON-IRRIGATED",1949.59,31,"KANSAS"
2006,"20023","CHEYENNE","SORGHUM","ALL",2075.37,33,"KANSAS"
2006,"20023","CHEYENNE","WHEAT","ALL",1342.2,20,"KANSAS"
2006,"20023","CHEYENNE","WHEAT","IRRIGATED",3355.5,50,"KANSAS"
2006,"20023","CHEYENNE","WHEAT","NON-IRRIGATED",1140.87,17,"KANSAS"
2006,"20039","DECATUR","CORN","ALL",3710.51,59,"KANSAS"
2006,"20039","DECATUR","CORN","IRRIGATED",10754.19,171,"KANSAS"
2006,"20039","DECATUR","CORN","NON-IRRIGATED",2830.05,45,"KANSAS"
2006,"20039","DECATUR","SORGHUM","ALL",3144.5,50,"KANSAS"
2006,"20039","DECATUR","WHEAT","ALL",1811.97,27,"KANSAS"
2006,"20039","DECATUR","WHEAT","IRRIGATED",2281.74,34,"KANSAS"
2006,"20039","DECATUR","WHEAT","NON-IRRIGATED",1811.97,27,"KANSAS"
2006,"20063","GOVE","CORN","ALL",3081.61,49,"KANSAS"
2006,"20063","GOVE","CORN","IRRIGATED",8741.71,139,"KANSAS"
2006,"20063","GOVE","CORN","NON-IRRIGATED",1509.36,24,"KANSAS"
2006,"20063","GOVE","SORGHUM","ALL",1698.03,27,"KANSAS"
2006,"20063","GOVE","SORGHUM","IRRIGATED",4653.86,74,"KANSAS"
2006,"20063","GOVE","SORGHUM","NON-IRRIGATED",1635.14,26,"KANSAS"
2006,"20063","GOVE","SOYBEANS","ALL",2415.96,36,"KANSAS"
2006,"20063","GOVE","SOYBEANS","IRRIGATED",2751.51,41,"KANSAS"
2006,"20063","GOVE","SOYBEANS","NON-IRRIGATED",1275.09,19,"KANSAS"
2006,"20063","GOVE","WHEAT","ALL",1140.87,17,"KANSAS"
2006,"20063","GOVE","WHEAT","IRRIGATED",2952.84,44,"KANSAS"
2006,"20063","GOVE","WHEAT","NON-IRRIGATED",1073.76,16,"KANSAS"
2006,"20065","GRAHAM","CORN","ALL",3647.62,58,"KANSAS"
2006,"20065","GRAHAM","CORN","IRRIGATED",7672.58,122,"KANSAS"
2006,"20065","GRAHAM","CORN","NON-IRRIGATED",1823.81,29,"KANSAS"
2006,"20065","GRAHAM","SORGHUM","ALL",2641.38,42,"KANSAS"
2006,"20065","GRAHAM","SORGHUM","IRRIGATED",4528.08,72,"KANSAS"
2006,"20065","GRAHAM","SORGHUM","NON-IRRIGATED",2578.49,41,"KANSAS"
2006,"20065","GRAHAM","SOYBEANS","ALL",1610.64,24,"KANSAS"
2006,"20065","GRAHAM","WHEAT","ALL",1275.09,19,"KANSAS"
2006,"20065","GRAHAM","WHEAT","IRRIGATED",2013.3,30,"KANSAS"
2006,"20065","GRAHAM","WHEAT","NON-IRRIGATED",1275.09,19,"KANSAS"
2006,"20109","LOGAN","CORN","ALL",3333.17,53,"KANSAS"
2006,"20109","LOGAN","CORN","IRRIGATED",10942.86,174,"KANSAS"
2006,"20109","LOGAN","CORN","NON-IRRIGATED",2012.48,32,"KANSAS"
2006,"20109","LOGAN","SORGHUM","ALL",3647.62,58,"KANSAS"
2006,"20109","LOGAN","SOYBEANS","ALL",1543.53,23,"KANSAS"
2006,"20109","LOGAN","WHEAT","ALL",1409.31,21,"KANSAS"
2006,"20109","LOGAN","WHEAT","IRRIGATED",2952.84,44,"KANSAS"
2006,"20109","LOGAN","WHEAT","NON-IRRIGATED",1342.2,20,"KANSAS"
2006,"20137","NORTON","CORN","ALL",4087.85,65,"KANSAS"
2006,"20137","NORTON","CORN","IRRIGATED",10565.52,168,"KANSAS"
2006,"20137","NORTON","CORN","NON-IRRIGATED",3396.06,54,"KANSAS"
2006,"20137","NORTON","SORGHUM","ALL",3270.28,52,"KANSAS"
2006,"20137","NORTON","SOYBEANS","ALL",2013.3,30,"KANSAS"
2006,"20137","NORTON","SOYBEANS","IRRIGATED",3959.49,59,"KANSAS"
2006,"20137","NORTON","SOYBEANS","NON-IRRIGATED",1006.65,15,"KANSAS"
2006,"20137","NORTON","WHEAT","ALL",1811.97,27,"KANSAS"
2006,"20137","NORTON","WHEAT","IRRIGATED",2885.73,43,"KANSAS"
2006,"20137","NORTON","WHEAT","NON-IRRIGATED",1811.97,27,"KANSAS"
2006,"20153","RAWLINS","CORN","ALL",4087.85,65,"KANSAS"
