FPDIV_KEY,energy_cd,FID,WUA_YEAR,LIFT_ENERG,CEDTotal,GHGTotal,EnergyPump,geometry
10722IRR12627,5,30,2015,54810.2671,311870.419799,18087.388143,365401.7806666667,"c(-100.54323, 39.41359)"
10785IRR8142,5,43,2015,52895.05721,300972.87552490004,17455.3688793,352633.7147333333,"c(-100.64204, 39.40524)"
10842IRR13111,5,44,2015,67449.52872,383787.81841680006,22258.344477600003,449663.5248,"c(-100.58654, 39.39754)"
11154IRR25476,5,45,2015,84699.50317000001,481940.1730373001,27950.836046100005,564663.3544666668,"c(-100.622025, 39.363014)"
11156IRR26789,5,46,2015,66994.59017000001,381199.2180673001,22108.214756100006,446630.6011333334,"c(-100.64524, 39.3686)"
11262IRR18890,5,47,2015,16225.95552,92325.68690880001,5354.5653216,108173.0368,"c(-100.56388, 39.38213)"
11145IRR10503,5,259,2015,104386.8149,593960.976781,34447.648917,695912.0993333333,"c(-100.62636, 39.42664)"
11469IRR1077,5,309,2015,94369.12927,536960.3455463,31141.812659100004,629127.5284666667,"c(-100.56174, 39.43719)"
10199IRR32874,1,612,2015,63174.69304,323454.4283648,16930.81773472,95719.23187878788,"c(-100.55486, 39.47612)"
11477IRR30601,1,802,2015,30004.67743,153623.9484416,8041.25355124,45461.63246969697,"c(-100.76982, 39.33603)"
11468IRR84315,5,1170,2015,54042.09792000001,307499.53716480004,17833.892313600005,360280.65280000004,"c(-100.5478, 39.43351)"
14347IRR50282,5,1261,2015,26760.13344,152265.15927360003,8830.844035200002,178400.88960000002,"c(-100.548565, 39.386722)"
14522IRR26685,5,1262,2015,95780.80326,544992.7705494,31607.665075800003,638538.6884,"c(-100.52721, 39.36482)"
13828IRR30217,5,1273,2015,114920.2744,653896.361336,37923.690552,766135.1626666667,"c(-100.63232, 39.37058)"
13829IRR37880,5,1274,2015,79263.19355,451007.5712995,26156.8538715,528421.2903333333,"c(-100.65021, 39.39027)"
14348IRR61523,5,1520,2015,73707.64252000001,419396.4859388001,24323.522031600005,491384.28346666676,"c(-100.55733, 39.39378)"
14101IRR20490,5,2132,2015,100338.9347,570928.538443,33111.848451,668926.2313333333,"c(-100.46542, 39.42991)"
15339IRR40527,5,2348,2015,82251.05212000001,468008.48656280007,27142.847199600004,548340.3474666667,"c(-100.51084, 39.37588)"
16408IRR42224,5,2349,2015,98280.22637,559214.4880453,32432.474702100004,655201.5091333333,"c(-100.51524, 39.41548)"
16409IRR4022,5,2350,2015,163670.8046,931286.8781740001,54011.365518000006,1091138.6973333333,"c(-100.52326, 39.40849)"
14916IRR16156,5,2360,2015,111093.8367,632123.930823,36660.966111,740625.578,"c(-100.62636, 39.39017)"
16659IRR35872,5,2361,2015,67213.44523,382444.5033587,22180.4369259,448089.6348666667,"c(-100.59492, 39.39106)"
15525IRR34746,5,2504,2015,99003.38484,563329.2597396,32671.116997200003,660022.5656,"c(-100.593399, 39.434685)"
16602IRR23770,6,2544,2015,126680.9473,690411.162785,48645.4837632,550786.7273913043,"c(-100.66686, 39.35446)"
16819IRR54974,5,2572,2015,49665.94232,282599.21180080005,16389.760965600002,331106.2821333334,"c(-100.63445, 39.42661)"
15371IRR7640,1,2624,2015,64220.37799,328808.3353088,17211.06130132,97303.60301515152,"c(-100.468852, 39.398376)"
16629IRR80684,1,2972,2015,57135.07822,292531.6004864,15312.200962960002,86568.30033333333,"c(-100.76294, 39.32112)"
15498IRR9766,5,3324,2015,22887.24672,130228.4338368,7552.7914176,152581.6448,"c(-100.54512, 39.43004)"
17048IRR35961,5,3405,2015,59447.50529,338256.30510010006,19617.676745700002,396316.70193333336,"c(-100.51093, 39.36861)"
17246IRR45187,5,3406,2015,112959.5042,642739.5788980001,37276.636386,753063.3613333333,"c(-100.51077, 39.41991)"
18188IRR35833,5,3407,2015,124950.8743,710970.4747670001,41233.788519,833005.8286666666,"c(-100.50591, 39.40852)"
16919IRR26450,5,3411,2015,125651.9708,714959.7138520001,41465.150364,837679.8053333333,"c(-100.60283, 39.37551)"
17229IRR9282,5,3412,2015,65404.72463,372152.8831447,21583.5591279,436031.4975333333,"c(-100.66979, 39.38303)"
17230IRR40161,5,3413,2015,91790.29247999999,522286.7642112,30290.7965184,611935.2832,"c(-100.67857, 39.38684)"
18077IRR16412,5,3414,2015,53754.92314,305865.5126666,17739.124636200002,358366.1542666667,"c(-100.59388, 39.36113)"
18096IRR46872,5,3415,2015,88116.56591,501383.26002790005,29078.466750300002,587443.7727333334,"c(-100.60571, 39.35738)"
18148IRR37899,5,3416,2015,66407.41584,377858.19612960005,21914.447227200002,442716.1056,"c(-100.66895, 39.37207)"
18149IRR35060,5,3417,2015,71210.12656,405185.6201264,23499.341764800003,474734.1770666667,"c(-100.67368, 39.37589)"
16948IRR71606,5,3647,2015,72259.32182000001,411155.5411558001,23845.576200600004,481728.8121333334,"c(-100.6957139, 39.38692613)"
17678IRR46433,5,3648,2015,130963.0277,745179.6276130001,43217.799141,873086.8513333334,"c(-100.631313, 39.422939)"
17680IRR41079,5,3649,2015,94099.79523999999,535427.8349156,31052.9324292,627331.9682666666,"c(-100.64158, 39.41555)"
17681IRR31781,5,3650,2015,131890.0216,750454.2229040001,43523.707128,879266.8106666667,"c(-100.640701, 39.422028)"
17682IRR2252,5,3651,2015,114670.8891,652477.358979,37841.393403,764472.594,"c(-100.68236, 39.40101)"
17186IRR9876,5,3684,2015,5993.667571,34103.968478990006,1977.91029843,39957.783806666666,"c(-100.5886, 39.42276)"
18034IRR13742,5,3685,2015,15883.813040000001,90378.89619760001,5241.658303200001,105892.08693333334,"c(-100.5648, 39.39047)"
18132IRR7478,5,3686,2015,5756.011516,32751.70552604,1899.48380028,38373.41010666666,"c(-100.55162, 39.40855)"
17536IRR37865,1,3715,2015,31849.762469999998,163070.78384639998,8535.73634196,48257.21586363636,"c(-100.47826, 39.3994)"
17986IRR1370,5,3798,2015,80301.75625,456916.9930625001,26499.579562500003,535345.0416666667,"c(-100.72997, 39.30726)"
18714IRR1779,1,4035,2015,78364.84491,401228.0059392,21001.77843588,118734.61349999999,"c(-100.74406, 39.34324)"
19432IRR35096,5,4462,2015,108743.8858,618752.7102020001,35885.482314,724959.2386666667,"c(-100.54008, 39.35752)"
20050IRR18337,5,4463,2015,105112.4901,598090.0686690001,34687.121733,700749.934,"c(-100.54817, 39.37572)"
20279IRR4011,5,4464,2015,69434.63072999999,395083.0488537,22913.428140899996,462897.53819999995,"c(-100.51575, 39.37568)"
20376IRR24456,5,4465,2015,104014.5286,591842.667734,34324.794438000004,693430.1906666667,"c(-100.55353, 39.37929)"
20396IRR21512,5,4466,2015,97083.18477,552403.3213413,32037.450974100004,647221.2318000001,"c(-100.54332, 39.38679)"
20404IRR10125,5,4467,2015,129666.32699999999,737801.40063,42789.88791,864442.1799999999,"c(-100.47874, 39.40848)"
19070IRR54599,5,4473,2015,95938.96225,545892.6952025,31659.8575425,639593.0816666667,"c(-100.69141, 39.38239)"
19160IRR13564,5,4474,2015,61935.60321,352413.58226490003,20438.7490593,412904.0214,"c(-100.56209, 39.37518)"
