masterid,year,PDIV_ID,crop,volume_m3,area_m2,depth_m,system
sheridan,1996,10125,23,141270.4644,635357.02,0.222348687898089,6
null_geo9,1996,10401,2,163707.4656,493716.92,0.331582426229509,4
sheridan,1996,10503,24,205633.4508,501810.64,0.409783935483872,3
sheridan,1996,1077,2,208618.4724,542279.24,0.384707641791045,4
sheridan,1996,10944,2,95397.3432,485623.2,0.1964436,4
sheridan,1996,11070,,,,,
sheridan,1996,1108,2,158206.1448,505857.5,0.312749184,4
sheridan,1996,11091,,,,,
sheridan,1996,11296,2,170059.8876,607029,0.28015184,4
null_geo9,1996,11461,2,147302.1816,323748.8,0.4549902,1
sheridan,1996,11655,2,202426.4028,485623.2,0.416839399999999,4
null_geo9,1996,11884,2,109853.7288,477529.48,0.230046508474576,3
sheridan,1996,12141,5,0,0,0,1
null_geo9,1996,12195,24,172798.2132,1052183.6,0.164228584615385,3
null_geo9,1996,12260,26,177152.3976,501810.64,0.353027225806451,3
null_geo9,1996,12396,2,341686.2948,1011715,0.337730592,3
null_geo9,1996,12495,2,153851.9604,477529.48,0.322183932203388,3
sheridan,1996,12627,2,153309.2292,493716.92,0.31052124590164,3
null_geo9,1996,12760,2,144674.8692,404686,0.35749992,3
sheridan,1996,12879,2,132586.7652,930777.8,0.142447617391305,4
null_geo9,1996,12942,2,187291.6032,230671.02,0.811944421052633,3
sheridan,1996,12958,2,138149.76,542279.24,0.254758208955224,2
sheridan,1996,13049,2,157503.0612,485623.2,0.324332599999999,3
sheridan,1996,13111,24,166939.1832,501810.64,0.332674451612904,3
null_geo9,1996,13362,,,,,
sheridan,1996,13518,,,,,
sheridan,1996,13564,23,280777.0524,566560.4,0.495583028571428,6
null_geo9,1996,13595,2,172526.8476,485623.2,0.355269799999999,3
sheridan,1996,1370,2,230845.782,607029,0.380288800000001,5
sheridan,1996,13742,2,153790.2864,493716.92,0.311495606557376,4
null_geo9,1996,13827,2,318879.2496,505857.5,0.630375168,3
null_geo9,1996,13828,2,133067.8224,485623.2,0.2740152,4
sheridan,1996,14543,2,138433.4604,501810.64,0.275868580645161,3
null_geo9,1996,14585,2,142886.3232,343983.1,0.415388611764704,3
sheridan,1996,14592,,,,,
null_geo9,1996,14708,2,156627.2904,485623.2,0.322529200000001,3
null_geo9,1996,14756,2,183011.4276,485623.2,0.376859800000001,3
sheridan,1996,15070,2,316153.2588,1068371.04,0.295921545454545,3
null_geo9,1996,15426,48,507934.7292,1930352.22,0.263131220125786,6
null_geo9,1996,15444,2,101182.3644,485623.2,0.2083562,3
sheridan,1996,15471,16,137409.672,384451.7,0.357418105263158,6
sheridan,1996,15540,2,201957.6804,615122.72,0.328321736842106,6
null_geo9,1996,15646,2,148807.0272,485623.2,0.306425599999999,3
sheridan,1996,160,2,308604.3612,497763.78,0.619983024390245,3
null_geo9,1996,16141,2,309887.1804,942918.38,0.328647656652361,3
